Orthogroup	Artha	Cechi	Erjap	Glmax	Lyrho	Metru	Poten	Qumon	Setor	Vivin	Zeins	Total
OG0000000	0	0	0	0	0	0	0	0	671	0	0	671
OG0000001	0	0	603	0	0	0	0	0	0	0	0	603
OG0000002	0	0	465	0	0	0	0	0	0	0	0	465
OG0000003	0	0	434	0	0	0	0	0	0	0	0	434
OG0000004	0	0	429	0	0	0	0	0	0	0	0	429
OG0000005	0	0	0	346	0	0	0	0	0	0	0	346
OG0000006	0	0	312	0	0	0	0	0	0	0	0	312
OG0000007	19	26	14	32	43	33	19	33	5	67	19	310
OG0000008	0	0	307	0	0	0	0	0	0	0	0	307
OG0000009	4	7	33	31	49	45	9	38	16	56	16	304
OG0000010	20	1	0	56	0	74	7	24	31	32	26	271
OG0000011	8	4	29	24	2	56	21	39	19	44	21	267
OG0000012	0	0	253	0	0	0	0	0	0	0	0	253
OG0000013	0	0	0	0	0	0	0	0	249	0	0	249
OG0000014	0	0	0	231	0	0	0	0	0	0	0	231
OG0000015	0	0	230	0	0	0	0	0	0	0	0	230
OG0000016	0	0	0	0	0	0	0	228	0	0	0	228
OG0000017	0	0	225	0	0	0	0	0	0	0	0	225
OG0000018	16	0	3	20	41	13	1	23	6	75	22	220
OG0000019	0	0	220	0	0	0	0	0	0	0	0	220
OG0000020	0	0	0	0	0	218	0	0	0	0	0	218
OG0000021	0	0	217	0	0	0	0	0	0	0	0	217
OG0000022	0	0	0	215	0	0	0	0	0	0	0	215
OG0000023	0	6	0	189	1	11	0	1	0	3	0	211
OG0000024	0	0	0	0	0	1	0	0	208	0	0	209
OG0000025	0	0	204	0	0	0	0	0	0	0	0	204
OG0000026	10	3	8	28	13	34	16	16	35	17	17	197
OG0000027	9	1	28	18	2	46	15	19	40	16	1	195
OG0000028	17	10	19	22	9	19	22	31	27	14	2	192
OG0000029	0	8	11	11	7	34	4	7	11	96	3	192
OG0000030	1	0	0	5	4	10	0	0	168	0	0	188
OG0000031	2	1	2	56	32	28	0	29	10	25	1	186
OG0000032	1	0	1	2	1	0	0	0	175	0	2	182
OG0000033	0	0	180	0	0	0	0	0	0	0	0	180
OG0000034	0	7	5	15	25	44	1	2	11	39	26	175
OG0000035	1	1	13	33	27	28	14	28	0	11	16	172
OG0000036	10	9	18	31	15	16	20	6	9	17	20	171
OG0000037	6	6	15	24	22	25	7	5	23	18	19	170
OG0000038	5	4	8	21	10	22	9	31	14	32	13	169
OG0000039	17	1	5	13	30	10	3	29	9	36	14	167
OG0000040	0	0	0	0	0	0	0	167	0	0	0	167
OG0000041	0	0	18	1	28	38	1	23	15	42	0	166
OG0000042	0	0	0	0	0	0	0	166	0	0	0	166
OG0000043	0	0	0	24	8	1	0	0	132	0	0	165
OG0000044	0	0	0	0	0	165	0	0	0	0	0	165
OG0000045	1	1	14	24	23	23	2	11	7	52	4	162
OG0000046	9	8	9	22	14	19	7	12	11	30	20	161
OG0000047	10	9	3	15	25	17	7	24	5	35	11	161
OG0000048	24	4	10	16	20	14	5	23	11	25	8	160
OG0000049	1	1	0	0	1	0	1	1	152	1	1	159
