FamilyID	Metru<1>	Glmax<2>	Setor<3>	Zeins<4>	Lyrho<5>	Cechi<6>	Poten<7>	Qumon<8>	Erjap<9>	Vivin<10>	Artha<11>	<12>	<13>	<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>
OG0000007	4	3	-15	-2	14	-3	-2	11	-8	47	9	0	10	0	1	0	0	-1	9	8	2
OG0000009	13	-1	-4	-3	27	-15	-10	4	-1	37	-6	0	9	0	0	0	0	1	12	3	15
OG0000010	20	2	2	9	-1	0	-7	11	-13	18	10	0	4	0	0	2	1	12	25	-15	-1
OG0000011	27	-5	-2	2	-2	0	2	8	-2	26	-2	0	8	0	1	0	0	2	8	-15	13
OG0000018	-2	5	-7	9	26	-15	-12	10	-10	62	6	0	3	0	0	0	0	0	2	2	0
OG0000026	5	-1	10	1	1	-9	1	4	-4	4	0	0	3	0	2	1	0	9	4	-4	-1
OG0000027	20	-8	17	-11	0	-1	3	-2	7	4	-1	0	2	0	0	0	0	11	3	-10	9
OG0000028	0	3	9	-11	-1	0	9	9	-3	1	7	0	3	0	0	0	0	5	1	-3	9
OG0000030	0	-5	155	-2	2	-2	-1	0	0	-1	0	0	0	0	0	1	0	11	-3	0	-1
OG0000031	-1	27	-2	-7	22	-9	-8	18	-9	17	-4	0	2	0	0	0	0	4	17	2	3
OG0000032	-2	0	169	0	0	-1	-1	-1	0	-1	0	0	0	0	0	1	0	4	-4	-1	0
OG0000035	2	7	-13	3	14	-12	1	11	-4	1	-5	0	4	1	2	0	0	0	13	0	6
OG0000036	-2	13	-5	6	2	-4	6	-6	6	4	0	0	3	0	1	0	0	0	4	-1	-1
OG0000037	2	1	3	3	7	-9	-5	-6	4	7	-3	0	2	0	1	4	0	4	3	-1	0
OG0000038	2	1	0	1	1	-5	-3	15	-8	20	-4	0	3	0	0	0	0	2	6	-3	4
OG0000039	-1	2	-2	3	18	-11	-8	15	-9	24	7	0	2	0	-1	0	0	0	0	1	2
OG0000045	2	3	-3	-5	14	-8	-7	-1	2	43	-5	0	3	0	0	0	0	1	11	0	3
OG0000046	1	4	-2	7	2	-4	-5	1	-2	18	-1	0	2	0	0	1	0	0	5	-1	-1
OG0000047	2	0	-6	0	11	-5	-4	12	-9	24	0	0	1	0	0	0	0	0	4	3	1
OG0000048	0	2	0	-3	9	-7	-6	9	-4	14	14	0	1	0	0	0	0	0	3	0	3
OG0000049	0	0	148	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	3	-4	0	0
OG0000050	23	-9	10	-3	4	-2	-3	3	1	0	-1	0	0	2	0	1	0	8	2	0	20
OG0000051	4	-2	-3	-1	13	-3	-4	1	-3	37	-1	0	1	0	0	0	0	0	0	6	-1
OG0000053	-2	9	-1	-8	16	-10	11	4	-2	0	2	0	1	0	0	0	0	1	3	1	2
OG0000055	5	-4	0	-5	-5	1	0	2	-1	47	5	0	1	0	-1	-1	0	0	0	-3	3
OG0000056	3	1	1	-6	-2	0	6	-2	3	0	3	0	1	0	0	0	0	3	4	-1	5
OG0000059	21	-2	-2	-2	-6	6	-5	0	0	18	11	0	0	0	0	0	0	0	8	-1	-6
OG0000060	-2	9	-1	2	2	-4	10	-3	2	-2	5	0	0	0	3	0	0	0	2	-1	0
OG0000061	19	-2	0	6	2	-8	-5	1	-5	9	-1	0	1	0	0	2	0	3	8	-3	-3
OG0000062	122	-9	-2	-1	-2	0	-1	0	-1	2	-1	0	0	0	0	0	0	0	11	0	-1
OG0000064	1	5	-4	-1	3	-3	-1	11	-6	19	-4	0	3	0	0	0	0	0	8	0	2
OG0000066	3	5	-6	0	-1	0	-3	8	-6	21	4	0	0	0	-1	0	0	1	12	-6	1
OG0000068	22	-6	-2	-1	9	-4	-6	-2	2	32	-4	0	3	0	0	0	0	0	1	1	2
OG0000073	0	0	3	-1	-3	2	-4	3	-2	12	-3	0	2	0	1	0	0	1	0	0	3
OG0000077	10	-5	4	-9	5	-3	-4	3	-5	20	0	0	0	0	0	0	0	3	1	1	-1
OG0000078	-5	43	-4	-2	37	-6	-4	2	-3	30	-2	0	1	0	0	0	0	0	2	3	-1
OG0000079	-1	7	1	5	-3	0	-8	-2	2	29	-5	0	3	0	0	0	0	3	3	-5	0
OG0000082	7	0	-4	-3	-2	1	0	18	-8	32	-3	0	2	0	-1	0	0	0	5	-1	4
OG0000084	-2	10	3	-2	0	-3	-4	7	-9	11	5	0	0	0	-1	0	0	6	4	-6	-1
OG0000085	0	0	0	2	2	-5	-7	-1	1	15	6	0	1	0	-1	0	0	0	1	-2	3
OG0000088	16	-5	1	-4	2	-6	0	2	-4	10	9	0	0	0	0	0	0	1	1	-2	-2
OG0000090	6	-2	0	1	3	-8	-3	0	0	6	23	0	0	0	0	0	0	0	2	-1	-6
OG0000091	3	-1	-6	1	3	-1	-4	6	-4	22	0	0	1	0	-1	0	0	-1	0	3	1
OG0000093	-1	7	-1	-1	3	-8	4	5	-4	11	-2	0	1	0	0	0	0	1	1	-1	0
OG0000095	-3	7	-3	0	22	-10	0	2	-4	32	-4	0	3	0	0	0	0	0	1	2	-3
OG0000097	-1	5	-3	0	2	-4	3	-2	2	3	0	0	0	0	1	0	0	0	2	-1	-1
OG0000098	6	-1	-2	0	0	0	-2	6	-4	12	6	0	0	0	-2	0	0	1	4	-5	2
OG0000099	10	-3	1	-1	0	-2	-5	11	-3	33	-4	0	2	0	-1	0	0	1	2	-2	7
OG0000101	3	1	-4	-8	-4	6	4	1	-1	10	-5	0	3	0	0	0	0	0	7	1	3
