#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000007	0.165312	1.4763e-192	1.39813e-69	1.05591e-123	N/S
OG0000007	0.537509	2.12246e-129	1.39813e-69	1.51808e-60	N/S
OG0000007	1.07958	6.71714e-97	1.39813e-69	4.80439e-28	N/S
OG0000007	2.2176	1.39813e-69	1.39813e-69	1	*
OG0000009	0.165312	2.12598e-213	7.01609e-78	3.03014e-136	N/S
OG0000009	0.537509	2.00479e-143	7.01609e-78	2.85742e-66	N/S
OG0000009	1.07958	6.50267e-108	7.01609e-78	9.26822e-31	N/S
OG0000009	2.2176	7.01609e-78	7.01609e-78	1	*
OG0000010	0.165312	1.66687e-198	1.16713e-69	1.42817e-129	N/S
OG0000010	0.537509	2.42122e-132	1.16713e-69	2.0745e-63	N/S
OG0000010	1.07958	3.26516e-98	1.16713e-69	2.7976e-29	N/S
OG0000010	2.2176	1.16713e-69	1.16713e-69	1	*
OG0000011	0.165312	1.00288e-149	1.18384e-53	8.47141e-97	N/S
OG0000011	0.537509	1.80798e-99	1.18384e-53	1.52722e-46	N/S
OG0000011	1.07958	3.80462e-74	1.18384e-53	3.2138e-21	N/S
OG0000011	2.2176	1.18384e-53	1.18384e-53	1	*
OG0000018	0.165312	6.63208e-263	8.395e-103	7.90004e-161	N/S
OG0000018	0.537509	1.10384e-183	8.395e-103	1.31488e-81	N/S
OG0000018	1.07958	4.67521e-141	8.395e-103	5.56904e-39	N/S
OG0000018	2.2176	8.395e-103	8.395e-103	1	*
OG0000026	0.165312	4.27507e-78	9.05245e-34	4.72256e-45	N/S
OG0000026	0.537509	3.6526e-54	9.05245e-34	4.03493e-21	N/S
OG0000026	1.07958	1.1331e-42	9.05245e-34	1.25171e-09	N/S
OG0000026	2.2176	9.05245e-34	9.05245e-34	1	*
OG0000027	0.165312	3.80385e-130	5.58572e-44	6.80996e-87	N/S
OG0000027	0.537509	2.38402e-84	5.58572e-44	4.26806e-41	N/S
OG0000027	1.07958	8.58278e-62	5.58572e-44	1.53656e-18	N/S
OG0000027	2.2176	5.58572e-44	5.58572e-44	1	*
OG0000028	0.165312	1.15605e-80	3.93434e-31	2.93835e-50	N/S
OG0000028	0.537509	2.12837e-52	3.93434e-31	5.40973e-22	N/S
OG0000028	1.07958	9.59758e-40	3.93434e-31	2.43944e-09	N/S
OG0000028	2.2176	3.93434e-31	3.93434e-31	1	*
OG0000030	0.165312	6.25612e-282	4.51372e-100	1.38602e-182	N/S
OG0000030	0.537509	8.04477e-194	4.51372e-100	1.78229e-94	N/S
OG0000030	1.07958	4.74047e-145	4.51372e-100	1.05024e-45	N/S
OG0000030	2.2176	4.51372e-100	4.51372e-100	1	*
OG0000031	0.165312	7.69703e-224	3.31824e-81	2.31961e-143	N/S
OG0000031	0.537509	1.51651e-153	3.31824e-81	4.57023e-73	N/S
OG0000031	1.07958	2.85077e-115	3.31824e-81	8.5912e-35	N/S
OG0000031	2.2176	3.31824e-81	3.31824e-81	1	*
OG0000032	0.165312	2.90438e-292	2.99923e-107	9.68376e-186	N/S
OG0000032	0.537509	3.19128e-203	2.99923e-107	1.06403e-96	N/S
OG0000032	1.07958	1.40151e-153	2.99923e-107	4.67292e-47	N/S
OG0000032	2.2176	2.99923e-107	2.99923e-107	1	*
OG0000035	0.165312	6.11758e-139	3.24174e-54	1.88713e-85	N/S
OG0000035	0.537509	2.2953e-96	3.24174e-54	7.08045e-43	N/S
OG0000035	1.07958	8.12351e-74	3.24174e-54	2.50591e-20	N/S
OG0000035	2.2176	3.24174e-54	3.24174e-54	1	*
OG0000036	0.165312	2.00282e-75	1.63359e-30	1.22602e-45	N/S
OG0000036	0.537509	1.94367e-50	1.63359e-30	1.18982e-20	N/S
OG0000036	1.07958	6.4924e-39	1.63359e-30	3.97431e-09	N/S
OG0000036	2.2176	1.63359e-30	1.63359e-30	1	*
OG0000037	0.165312	1.45596e-83	3.39053e-34	4.29419e-50	N/S
OG0000037	0.537509	1.68887e-57	3.39053e-34	4.98112e-24	N/S
OG0000037	1.07958	1.50245e-44	3.39053e-34	4.43131e-11	N/S
OG0000037	2.2176	3.39053e-34	3.39053e-34	1	*
OG0000038	0.165312	8.00501e-104	1.34456e-40	5.95361e-64	N/S
OG0000038	0.537509	7.27069e-71	1.34456e-40	5.40747e-31	N/S
OG0000038	1.07958	2.96606e-54	1.34456e-40	2.20596e-14	N/S
OG0000038	2.2176	1.34456e-40	1.34456e-40	1	*
OG0000039	0.165312	1.10013e-156	2.52779e-63	4.35215e-94	N/S
OG0000039	0.537509	1.33584e-109	2.52779e-63	5.2846e-47	N/S
OG0000039	1.07958	7.14503e-85	2.52779e-63	2.82659e-22	N/S
OG0000039	2.2176	2.52779e-63	2.52779e-63	1	*
OG0000045	0.165312	3.01508e-166	1.14093e-64	2.64265e-102	N/S
OG0000045	0.537509	1.64097e-115	1.14093e-64	1.43828e-51	N/S
OG0000045	1.07958	1.75947e-88	1.14093e-64	1.54213e-24	N/S
OG0000045	2.2176	1.14093e-64	1.14093e-64	1	*
OG0000046	0.165312	9.42913e-71	3.15587e-30	2.98781e-41	N/S
OG0000046	0.537509	6.07873e-48	3.15587e-30	1.92616e-18	N/S
OG0000046	1.07958	1.2961e-37	3.15587e-30	4.10695e-08	N/S
