FamilyID	Metru<1>	Glmax<2>	Setor<3>	Zeins<4>	Lyrho<5>	Cechi<6>	Poten<7>	Qumon<8>	Erjap<9>	Vivin<10>	Artha<11>	<12>	<13>	<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>
OG0000007	2.02354e-05	0.000169985	4.1014e-11	0.56988	4.34291e-15	0.378357	0.000344995	2.93569e-19	0.00228034	6.14734e-17	0.000759044	N/A	6.95254e-06	0.848428	0.52332	0.0964263	0.781688	0.817738	2.24212e-07	0.00264802	0.477853
OG0000009	1.03759e-16	0.00911182	0.332955	0.903047	8.60538e-34	8.34996e-11	1.1383e-06	7.80437e-10	0.000281023	1.37148e-15	0.203277	N/A	0.000114952	0.305318	0.519075	0.0716948	0.207591	0.0694517	4.09301e-08	0.243007	5.97096e-10
OG0000010	1.26385e-21	8.97376e-05	0.591433	0.0174052	0.0590924	0.539668	0.548922	6.64269e-23	1.84377e-14	7.64289e-09	8.6363e-05	N/A	0.770884	0.431829	0.51041	0.0596855	4.8169e-13	5.12211e-08	4.20695e-16	1.72384e-07	0.286332
OG0000011	4.24693e-36	0.300365	0.889778	0.148176	0.159712	0.0604963	0.000482268	1.18067e-13	0.0164455	4.33062e-08	0.75748	N/A	6.95254e-06	0.124071	0.526119	0.571465	0.230436	0.303635	0.00318106	2.89815e-11	0.000258234
OG0000018	0.177083	3.7154e-08	0.00109708	2.04683e-06	3.17173e-34	3.60223e-16	6.4118e-13	2.30203e-21	1.68368e-07	6.88108e-27	0.00293272	N/A	0.222111	0.0545082	0.51041	0.00661166	0.144931	0.757539	0.163859	0.416302	0.286332
OG0000026	1.76552e-07	0.0400341	1.30721e-05	0.906143	0.00921612	1.54835e-08	0.00701082	0.000139179	4.07254e-05	0.105881	0.326613	N/A	0.00173202	0.0839807	0.520497	0.815417	0.0101183	8.87808e-06	0.3097	0.0286729	0.293893
OG0000027	3.65474e-23	0.000311762	7.68114e-10	9.33094e-10	0.57468	0.112084	0.00610178	0.0547816	9.41957e-13	0.0916563	0.585121	N/A	0.0145001	0.0740913	0.519075	0.50073	0.728982	1.25546e-10	0.815677	1.04987e-08	0.0264631
OG0000028	0.106381	0.000234408	6.70634e-06	7.63517e-11	0.731154	0.172492	1.57483e-05	1.08493e-13	0.734487	0.601463	0.00451071	N/A	0.00252782	0.00121446	0.526119	0.0278428	0.758321	0.0630582	0.77959	0.00251855	0.504244
OG0000030	0.136399	7.19526e-05	5.86556e-156	0.0128765	0.00396315	0.00105684	0.0111904	0.5	0.5	0.369179	0.724697	N/A	0.558571	0.558571	0.501507	0.025154	0.556856	3.01481e-11	0.329011	0.679662	0.130856
OG0000031	0.00648466	1.83807e-34	0.839806	0.000730626	3.48635e-30	2.75154e-08	2.84384e-09	1.64838e-37	4.78921e-05	2.54976e-09	0.573214	N/A	0.0898554	0.681086	0.505989	0.0995877	0.624881	5.32621e-06	2.17934e-16	0.125964	0.179044
OG0000032	0.000606662	0.558986	8.8361e-178	0.692915	0.539668	0.0590924	0.0111904	0.0297402	0.519894	0.369179	0.724697	N/A	0.558571	0.558571	0.501507	0.549164	0.0150849	0.00396315	0.00323242	0.606052	0.588679
OG0000035	0.000793813	1.93946e-08	1.91201e-14	0.0930048	9.3719e-14	1.57635e-16	0.00524646	1.11473e-17	0.303778	0.417806	0.0247595	N/A	0.000374607	0.019075	0.517647	0.265343	0.739534	0.779014	1.68952e-10	0.884899	0.153559
OG0000036	0.771891	2.22544e-15	0.000712124	0.0235854	0.0142957	0.00596563	1.77817e-07	1.01744e-09	9.96482e-06	0.105881	0.326613	N/A	0.00173202	0.0356744	0.521912	0.822985	0.758321	0.796667	0.214687	0.157659	0.310369
OG0000037	0.000455536	0.00373448	0.050934	0.0703409	9.80343e-10	3.74084e-06	0.548922	0.00426034	3.35256e-11	0.000702048	0.899877	N/A	0.172922	0.753567	0.51041	5.12031e-05	0.0069129	0.00342425	0.260074	0.879588	0.811678
OG0000038	0.000234408	0.00223062	0.40914	0.197172	0.00369783	0.00126663	0.029934	1.17948e-27	0.000640701	7.64289e-09	0.701108	N/A	0.0628423	0.770884	0.511871	0.189504	0.038368	0.0835801	0.000914786	0.2395	0.0396418
OG0000039	0.136399	0.000254287	0.829211	0.0052138	6.49903e-24	4.88626e-11	6.33561e-08	1.31732e-28	1.18435e-05	1.67443e-10	0.00143295	N/A	0.770884	0.431829	0.51041	0.168306	0.117705	0.731154	0.696839	0.363235	0.0751227
OG0000045	0.00318106	0.000370085	0.516456	0.175983	1.22226e-18	2.75154e-08	2.26864e-06	0.0189244	1.97126e-06	8.65194e-21	0.208842	N/A	0.0191496	0.709387	0.507469	0.123294	0.64381	0.0320554	3.10563e-13	0.296703	0.00174687
OG0000046	0.0152708	1.61312e-05	0.255891	0.000300817	0.000908935	0.0322175	0.548922	0.00108076	0.642476	8.37913e-09	0.292959	N/A	0.753567	0.753567	0.51041	0.00661166	0.0455702	0.221206	0.00930593	0.866254	0.0751227
OG0000047	0.000914786	0.0727825	0.00337878	0.157207	1.5046e-14	0.0379875	0.548922	6.64269e-23	1.68368e-07	6.29118e-11	0.134004	N/A	0.753567	0.753567	0.51041	0.0596855	0.691708	0.731154	0.000254287	0.13894	0.286332
